id;name;created_at
55aec469-0286-485e-be17-ad143ea8ddd2;บรรจุ;2026-05-11 09:43:21.605847+00
cb81f986-eec5-4eac-9b62-1a371fe8ebb8;ผลิต;2026-05-11 09:43:25.536586+00
dd98b2b3-c0ed-48b6-b3f4-139b89c539c7;ช่างบรรจุ;2026-06-04 06:15:55.542207+00
72e122e2-76e3-44aa-a586-0a3f86291d77;ช่างผลิต;2026-06-04 06:16:13.590156+00
755d8bf8-abaf-4e67-8c66-c04dab7755d0;ช่างทั่วไป;2026-06-04 06:16:18.948805+00
c0e97601-f8e7-4843-88cd-e6c9f70bc877;สโตร์;2026-06-08 01:23:30.704203+00
7d38fe14-8dc9-4b09-8d0c-95bf62568b93;คลังสินค้า;2026-06-08 01:23:37.310224+00
1b4a7a7e-30a9-4325-a7de-003feddb4126;คิวซี;2026-07-02 03:19:41.82972+00
26c15678-1332-4304-9cff-7387607115ff;HR;2026-07-06 01:40:39.419624+00
96d45601-b560-41c9-9546-f8f773bf9703;RD;2026-07-06 01:43:37.969231+00
39bdf2ff-43df-49a5-8f70-8b43ff60ac54;CN;2026-07-18 07:56:48.696415+00
b830fd79-f2df-4438-b3b5-9b4db4ea7728;วิศวกรรม;2026-07-24 09:02:22.955956+00
